t21 q18 j12 q10 h34
j33 o19 p0 r14 f3
p29 h25 j11 l37 p35
h32 k24 l9 l0 u25
v24 n30 i24 h39 o21
p9 t2 o36 l5 f30
v7 l16 u20 i19 p1
g25 m23 d7 p2 y20
q27 i4 s28 c38 o26
o21 k34 k1 l6 o1
p28 p25 l9 q27 q38
n33 m29 o6 h17 q2
k13 l3 q19 o25 n14
k35 q4 q9 c16 n0
p39 q11 k39 r28 q16
n29 q26 l38 q24 p7
s15 k37 q27 j35 l1
g38 k5 h23 m7 i18
r20 k18 o11 g32 l28
m35 k15 k13 h14 o26
o20 l31 e7 y37 o21
k29 g34 u0 w32 l8
l33 j24 i25 n13 l6
h29 i7 j21 k5 l6
p0 m26 v39 m5 u0
j6 o32 r4 h20 o15
v35 m38 q1 m36 u24
w28 m38 p21 r1 q39
n6 q8 i33 j10 q11
l36 j19 m39 e39 w11
r18 n17 j22 g13 q17
h17 j30 j0 m15 i7
o22 g6 j36 s11 f28
n36 e35 l34 s12 l5
u22 j23 k25 g11 k24
u16 p23 o18 j25 m18
p22 j20 h34 j20 m18
o39 n11 k24 n13 s4
k15 p37 p20 k35 o17
n20 k36 o23 o0 l3
g22 t28 p7 q33 o38
p24 w32 h24 t28 q10
j27 o38 l23 p10 j38
o0 i23 k3 n0 e20
q4 j8 u17 y39 q11
g24 o18 k29 g28 p2
l33 q20 p8 s14 k12
r33 q28 l13 p17 m39
k11 i23 o25 o19 j13
l34 k13 l11 p27 h36
f29 j19 s15 h12 i13
k9 q2 l13 p19 q4
h18 f22 q29 k1 l22
l12 j27 l3 i2 p19
h37 t30 k16 m17 o7
g13 l27 n9 o9 g18
j15 j12 q35 n27 n27
q11 h21 i29 p10 k7
n6 i27 q38 r19 m39
t16 n34 w18 m21 l13
q3 q14 q0 p4 o2
o28 w19 n30 l2 s10
o31 p28 r32 p9 q37
h24 n34 l1 l33 p19
o12 m25 h25 k12 o21
p32 g31 q13 q9 r6
m17 k20 q13 n27 e33
j31 j35 p5 r22 o5
q14 o25 k12 h0 m39
m25 h11 m21 k31 g25
j31 i34 n1 d21 i26
p37 m2 g36 m13 m39
p18 m35 l11 d14 h27
s10 p21 q4 o30 v20
s8 r30 q14 n9 m2
y37 k35 j33 m14 s5
u33 j14 m28 g5 n4
p25 p6 l14 i35 n27
p10 k29 k9 h29 n34
f8 l24 m33 n29 t11
t31 m31 l16 m7 l22
t23 n6 m31 n23 o12
p38 i23 p31 q2 q33
p6 h23 t6 r15 q14
i36 k32 p30 s11 k31
j25 a0 v11 p9 r19
t22 r22 t8 j16 o39
m22 o5 m12 e17 a2
q4 j6 p36 s21 j36
h19 o26 p39 k12 p16
l26 k6 q21 p12 n26
i6 h33 n34 o5 s15
